state_short,county_id,county_name,per_clinton,per_trump
CT,09009,New Haven County,54,42
DC,11001,District of Columbia,7350,331
FL,12001,Alachua County,36,58
FL,12003,Baker County,81,17
FL,12011,Broward County,70,25
FL,12015,Charlotte County,73,24
FL,12017,Citrus County,57,37
FL,12019,Clay County,31,66
FL,12027,DeSoto County,75,20
FL,12029,Dixie County,61,34
FL,12033,Escambia County,67,28
FL,12037,Franklin County,70,26
FL,12039,Gadsden County,60,35
FL,12041,Gilchrist County,70,26
FL,12045,Gulf County,62,34
FL,12049,Hardee County,80,17
FL,12053,Hernando County,48,47
FL,12055,Highlands County,57,37
FL,12057,Hillsborough County,58,38
FL,12061,Indian River County,68,29
FL,12067,Lafayette County,30,67
FL,12069,Lake County,79,17
FL,12071,Lee County,68,29
FL,12073,Leon County,72,23
FL,12075,Levy County,62,34
FL,12079,Madison County,68,28
FL,12081,Manatee County,55,41
FL,12083,Marion County,62,33
FL,12085,Martin County,64,32
FL,12086,Miami-Dade County,44,51
FL,12091,Okaloosa County,87,10
FL,12097,Osceola County,59,36
FL,12099,Palm Beach County,67,30
FL,12101,Pasco County,51,46
FL,12105,Polk County,82,15
FL,12107,Putnam County,59,36
FL,12109,St. Johns County,58,38
FL,12111,St. Lucie County,35,59
FL,12113,Santa Rosa County,70,26
FL,12117,Seminole County,76,19
FL,12119,Sumter County,56,41
FL,12121,Suwannee County,56,39
FL,12125,Union County,61,35
FL,12127,Volusia County,61,34
FL,12131,Walton County,33,63
GA,13059,Clarke County,51,44
GA,13063,Clayton County,73,23
GA,13083,Dade County,70,23
GA,13215,Muscogee County,68,29
IL,17019,Champaign County,35,59
IL,17031,Cook County,35,60
IL,17079,Jasper County,40,56
IL,17085,Jo Daviess County,58,37
IL,17089,Kane County,48,47
IL,17125,Mason County,54,41
IL,17127,Massac County,66,30
IL,17189,Washington County,73,21
IN,18089,Lake County,53,42
IN,18127,Porter County,48,46
IN,18157,Tippecanoe County,64,31
IN,18183,Whitley County,49,47
IA,19005,Allamakee County,68,29
IA,19013,Black Hawk County,76,21
IA,19017,Bremer County,74,23
IA,19045,Clinton County,79,18
IA,19061,Dubuque County,54,41
IA,19065,Fayette County,68,28
IA,19067,Floyd County,76,20
IA,19087,Henry County,76,20
IA,19103,Johnson County,65,27
IA,19107,Keokuk County,27,67
IA,19111,Lee County,38,54
IA,19113,Linn County,50,41
IA,19115,Louisa County,32,60
IA,19131,Mitchell County,34,58
IA,19139,Muscatine County,43,49
IA,19153,Polk County,51,40
IA,19155,Pottawattamie County,36,57
IA,19163,Scott County,46,45
IA,19167,Sioux County,13,81
IA,19171,Tama County,36,56
IA,19179,Wapello County,37,57
IA,19183,Washington County,36,56
IA,19191,Winneshiek County,46,46
KS,20091,Johnson County,43,46
KS,20103,Leavenworth County,33,57
KS,20169,Saline County,28,61
KS,20209,Wyandotte County,60,31
KY,21013,Bell County,17,79
KY,21037,Campbell County,34,58
KY,21051,Clay County,11,85
KY,21073,Franklin County,44,49
KY,21095,Harlan County,12,83
KY,21101,Henderson County,34,61
KY,21117,Kenton County,33,58
KY,21121,Knox County,15,83
KY,21125,Laurel County,14,82
KY,21203,Rockcastle County,13,83
KY,21209,Scott County,31,61
KY,21211,Shelby County,30,63
KY,21215,Spencer County,20,75
KY,21225,Union County,21,75
KY,21235,Whitley County,15,83
KY,21239,Woodford County,36,56
LA,22055,Lafayette Parish,31,1
LA,22071,Orleans Parish,81,2
MD,24009,Calvert County,5,7
MD,24029,Kent County,3,3
MD,24033,Prince George's County,72,7
MD,24035,Queen Anne's County,2,4
MA,25003,Berkshire County,66,25
MA,25007,Dukes County,71,21
MA,25009,Essex County,57,35
MA,25011,Franklin County,62,26
MA,25013,Hampden County,54,38
MA,25015,Hampshire County,65,25
MA,25017,Middlesex County,64,27
MA,25019,Nantucket County,63,29
MA,25021,Norfolk County,59,32
MA,25023,Plymouth County,49,42
MA,25027,Worcester County,50,40
MI,26089,Leelanau County,45,48
MI,26161,Washtenaw County,67,26
MN,27003,Anoka County,40,50
MN,27005,Becker County,30,63
MN,27007,Beltrami County,40,50
MN,27009,Benton County,28,64
MN,27019,Carver County,38,52
MN,27021,Cass County,31,62
MN,27027,Clay County,44,46
MN,27029,Clearwater County,26,68
MN,27031,Cook County,56,34
MN,27033,Cottonwood County,29,64
MN,27035,Crow Wing County,30,62
MN,27037,Dakota County,47,43
MN,27039,Dodge County,29,61
MN,27045,Fillmore County,35,56
MN,27047,Freeborn County,37,54
MN,27049,Goodhue County,36,54
MN,27053,Hennepin County,63,28
MN,27057,Hubbard County,29,62
MN,27061,Itasca County,37,53
MN,27067,Kandiyohi County,33,58
MN,27069,Kittson County,34,55
MN,27071,Koochiching County,36,55
MN,27075,Lake County,47,45
MN,27077,Lake of the Woods County,24,68
MN,27081,Lincoln County,28,63
MN,27083,Lyon County,31,59
MN,27085,McLeod County,26,64
MN,27087,Mahnomen County,44,47
MN,27091,Martin County,26,67
MN,27093,Meeker County,26,65
MN,27097,Morrison County,20,73
MN,27099,Mower County,41,49
MN,27101,Murray County,27,63
MN,27105,Nobles County,31,60
MN,27107,Norman County,38,51
MN,27111,Otter Tail County,28,64
MN,27113,Pennington County,32,59
MN,27117,Pipestone County,23,69
MN,27119,Polk County,31,60
MN,27123,Ramsey County,65,26
MN,27131,Rice County,44,47
MN,27133,Rock County,28,63
MN,27135,Roseau County,24,69
MN,27137,St. Louis County,51,39
